iter	MAE
542	609006.7385
543	608758.7647
544	608416.8704
545	608024.5022
546	607861.915
547	607679.6353
548	607495.0594
549	607333.7189
550	606974.3666
551	606703.0903
552	606488.3163
553	606282.7738
554	605988.453
555	605760.4201
556	605611.013
557	605182.3238
558	605101.5756
559	604999.9853
560	604673.8772
561	604484.2728
562	604098.1703
563	603947.5874
564	603822.3944
565	603712.0596
566	603634.3705
567	603387.6016
568	603233.7959
569	602978.0233
570	602716.0186
571	602407.751
572	602118.3078
573	601966.4576
574	601804.584
575	601596.1481
576	601481.0921
577	601284.4653
578	601141.5866
579	601029.3009
580	600896.5605
581	600591.5903
582	600382.3023
583	600179.9863
584	599998.7433
585	599740.7951
586	599417.7269
587	599120.4819
588	598971.3994
589	598835.9454
590	598700.5108
591	598480.3109
592	598310.966
593	598061.6008
594	597856.3157
595	597656.9131
596	597410.9973
597	597319.0778
598	596991.9685
599	596621.2435
600	596299.5754
601	596160.2902
602	596069.3855
603	595805.4812
604	595626.2159
605	595398.4887
606	595255.8792
607	595002.4544
608	594822.5595
609	594518.982
610	594331.1424
611	594136.1666
612	593838.4222
613	593548.6486
614	593340.0013
615	593183.0758
616	593022.0331
617	592878.8204
618	592838.1035
619	592661.1996
620	592516.9571
621	592275.7926
622	592174.3711
623	591871.2744
624	591546.4237
625	591404.4992
626	591220.6853
627	591020.8734
628	590803.6202
629	590646.947
630	590473.9191
631	590302.7604
632	590162.5244
633	590041.9835
634	589768.0297
635	589520.5101
636	589260.0342
637	589026.4797
638	588892.1804
639	588690.2472
640	588493.8181
641	588204.2048
642	588040.8169
643	587905.9377
644	587634.3172
645	587445.2922
646	587277.569
647	587063.538
648	586778.7932
649	586669.6806
650	586567.0724
651	586242.828
652	586132.7081
653	586005.7453
654	585875.0342
655	585630.0157
656	585472.4454
657	585243.8802
658	584934.2413
659	584812.2679
660	584668.805
661	584465.6864
662	584235.0506
663	584096.9409
664	583978.9415
665	583862.6934
666	583689.7131
667	583442.8474
668	583380.2719
669	583141.998
670	582964.5583
671	582825.8113
672	582748.3695
673	582607.3072
674	582431.5426
675	582289.849
676	582034.6137
677	581766.4952
678	581462.3503
679	581302.1273
680	581099.4505
681	580950.1111
682	580683.9408
683	580536.837
684	580466.7922
685	580350.2576
686	580205.0369
687	580066.1168
688	579888.4062
689	579713.2788
690	579561.4081
691	579141.84
692	579036.7289
693	578801.7504
694	578641.5394
695	578460.691
696	578331.4531
697	578221.2268
698	578137.5196
699	578054.7934
700	577858.7973
701	577735.2981
702	577522.7577
703	577374.0098
704	577282.4979
705	577147.0099
706	576805.0312
707	576703.6831
708	576549.9252
709	576437.8288
710	576271.1472
711	576095.2515
712	575807.1958
713	575579.2068
714	575462.0896
715	575344.6413
716	575168.6785
717	574957.4885
718	574839.5091
719	574724.2426
720	574583.5643
721	574375.2915
722	574128.3349
723	573798.836
724	573605.7996
725	573434.5854
726	573158.2775
727	573007.3654
728	572870.3017
729	572714.6272
730	572388.582
731	572226.3115
732	572108.0447
733	571847.0159
734	571575.1463
735	571377.4151
